key,value,date
KÁROLY,132,2002
KENDE,,2002
KEVIN,347,2002
KOLOS,,2002
KOPPÁNY,,2002
KORNÉL,192,2002
KRISTÓF,936,2002
KRISZTIÁN,920,2002
KRISZTOFER,231,2002
LAJOS,197,2002
LÁSZLÓ,1067,2002
LEVENTE,906,2002
LÓRÁNT,98,2002
LŐRINC,,2002
MARCELL,523,2002
MÁRIÓ,144,2002
MÁRK,1125,2002
MÁRKÓ,134,2002
MARTIN,871,2002
MÁRTON,528,2002
MÁTÉ,1497,2002
MÁTYÁS,248,2002
MIHÁLY,250,2002
MIKLÓS,203,2002
MILÁN,513,2002
NÁNDOR,131,2002
NIKOLASZ,,2002
NIMRÓD,,2002
NOEL,76,2002
NOLEN,,2002
NORBERT,636,2002
OLIVÉR,292,2002
PÁL,93,2002
PATRIK,913,2002
PÉTER,1189,2002
RAJMUND,71,2002
RENÁTÓ,133,2002
RICHÁRD,697,2002
RIKÁRDÓ,,2002
RÓBERT,491,2002
ROLAND,689,2002
RÓMEÓ,,2002
RUDOLF,,2002
SÁMUEL,,2002
SÁNDOR,526,2002
SEBESTYÉN,,2002
SIMON,62,2002
SOMA,127,2002
SZABOLCS,653,2002
SZEBASZTIÁN,142,2002
SZILÁRD,137,2002
SZILVESZTER,82,2002
TAMÁS,1314,2002
TIBOR,359,2002
VALENTIN,58,2002
VENCEL,,2002
VIKTOR,292,2002
VILMOS,81,2002
VINCE,55,2002
ZALÁN,228,2002
ZÉNÓ,,2002
ZENTE,,2002
ZOLTÁN,999,2002
ZSIGMOND,,2002
ZSOLT,774,2002
ZSOMBOR,413,2002
ZÉTÉNY,,2002
ÁBEL,138,2003
ÁDÁM,1065,2003
ADRIÁN,276,2003
ÁGOSTON,64,2003
ÁKOS,555,2003
ALBERT,,2003
ALEX,381,2003
ALEXANDER,91,2003
ÁLMOS,,2003
ANDOR,60,2003
ANDRÁS,705,2003
ANTAL,84,2003
ARMAND,80,2003
ÁRMIN,86,2003
ARNOLD,68,2003
ÁRON,347,2003
ÁRPÁD,84,2003
ATTILA,861,2003
BALÁZS,1191,2003
BÁLINT,1286,2003
BARNA,58,2003
BARNABÁS,482,2003
BÉLA,114,2003
BENCE,1843,2003
BENDE,,2003
BENDEGÚZ,135,2003
BENEDEK,375,2003
BENETT,,2003
BENJAMIN,,2003
BENJÁMIN,266,2003
BERTALAN,77,2003
BOLDIZSÁR,87,2003
BOTOND,440,2003
BRÁJEN,,2003
BRENDON,,2003
BULCSÚ,,2003
CSABA,508,2003
CSANÁD,73,2003
CSONGOR,130,2003
DÁNIEL,1449,2003
DÁVID,1456,2003
DÉNES,68,2003
DENISZ,,2003
DEZSŐ,,2003
DOMINIK,1002,2003
DOMONKOS,117,2003
DONÁT,101,2003
DORIÁN,,2003
ENDRE,62,2003
ERIK,397,2003
ERNŐ,,2003
FÉLIX,,2003
FERENC,417,2003
FLÓRIÁN,,2003
GÁBOR,837,2003
GELLÉRT,,2003
GERGELY,444,2003
GERGŐ,1038,2003
GÉZA,59,2003
GYÖRGY,187,2003
GYULA,163,2003
HENRIK,,2003
HUBA,,2003
HUNOR,65,2003
IMRE,211,2003
ISTVÁN,784,2003
IVÁN,,2003
JÁNOS,566,2003
JENŐ,,2003
JÓZSEF,572,2003
KÁLMÁN,,2003
KÁROLY,161,2003
KENDE,,2003
KEVIN,411,2003
KOLOS,,2003
KOPPÁNY,58,2003
KORNÉL,197,2003
KRISTÓF,871,2003
KRISZTIÁN,778,2003
KRISZTOFER,234,2003
LAJOS,160,2003
LÁSZLÓ,990,2003
LEVENTE,1103,2003
LÓRÁNT,81,2003
LŐRINC,,2003
MARCELL,513,2003
MÁRIÓ,105,2003
MÁRK,1017,2003
MÁRKÓ,101,2003
MARTIN,747,2003
MÁRTON,504,2003
MÁTÉ,1574,2003
MÁTYÁS,258,2003
MIHÁLY,208,2003
MIKLÓS,168,2003
MILÁN,523,2003
NÁNDOR,110,2003
NIKOLASZ,,2003
NIMRÓD,,2003
NOEL,101,2003
NOLEN,,2003
NORBERT,540,2003
OLIVÉR,300,2003
PÁL,110,2003
PATRIK,849,2003
PÉTER,1319,2003
RAJMUND,74,2003
RENÁTÓ,191,2003
RICHÁRD,605,2003
RIKÁRDÓ,,2003
RÓBERT,443,2003
ROLAND,628,2003
RÓMEÓ,,2003
RUDOLF,,2003
SÁMUEL,,2003
SÁNDOR,464,2003
SEBESTYÉN,,2003
SIMON,,2003
SOMA,112,2003
SZABOLCS,889,2003
