key,value,date
HAJNALKA,,2007
HANGA,,2007
HANNA,989,2007
HÉDI,,2007
HENRIETTA,,2007
IVETT,,2007
IZABELLA,157,2007
JANKA,253,2007
JÁZMIN,742,2007
JOHANNA,127,2007
JUDIT,,2007
JÚLIA,238,2007
JULIANNA,,2007
KAMILLA,200,2007
KATA,336,2007
KATALIN,183,2007
KIARA,,2007
KINCSŐ,168,2007
KINGA,320,2007
KIRA,,2007
KÍRA,217,2007
KITTI,436,2007
KLAUDIA,170,2007
KRISZTINA,279,2007
LARA,240,2007
LAURA,822,2007
LEILA,,2007
LÉNA,156,2007
LETÍCIA,,2007
LIA,,2007
LILI,959,2007
LILIÁNA,316,2007
LILIEN,141,2007
LILLA,524,2007
LINETT,,2007
LÍVIA,,2007
LIZA,,2007
LOTTI,,2007
LUCA,745,2007
MAJA,228,2007
MÁRIA,133,2007
MELINDA,139,2007
MELISSZA,127,2007
MERCÉDESZ,158,2007
MIA,,2007
MIRA,141,2007
MÍRA,218,2007
MIRELLA,,2007
MÓNIKA,,2007
NATÁLIA,143,2007
NATASA,,2007
NIKOLETT,369,2007
NIKOLETTA,160,2007
NOÉMI,531,2007
NÓRA,812,2007
NORINA,,2007
OLÍVIA,,2007
ORSOLYA,166,2007
PANKA,,2007
PANNA,476,2007
PATRÍCIA,144,2007
PETRA,893,2007
RAMÓNA,281,2007
REBEKA,462,2007
REGINA,315,2007
RÉKA,1000,2007
RENÁTA,145,2007
RÓZA,,2007
SÁRA,533,2007
SZABINA,,2007
SZILVIA,129,2007
SZOFI,,2007
SZOFIA,,2007
SZÓFIA,,2007
SZONJA,246,2007
TAMARA,218,2007
TÍMEA,335,2007
VANDA,301,2007
VANESSZA,328,2007
VERONIKA,226,2007
VIKTÓRIA,905,2007
VIRÁG,520,2007
VIVIEN,752,2007
ZITA,200,2007
ZOÉ,231,2007
ZSANETT,226,2007
ZSÓFIA,966,2007
ZSUZSANNA,164,2007
ABIGÉL,,2008
ADÉL,190,2008
ADRIENN,240,2008
ÁGNES,125,2008
ALEXA,161,2008
ALEXANDRA,539,2008
ALÍZ,,2008
AMANDA,283,2008
AMIRA,145,2008
ANDREA,132,2008
ANETT,,2008
ANITA,122,2008
ANNA,1318,2008
ANNABELLA,,2008
ANNAMÁRIA,,2008
BARBARA,342,2008
BEATRIX,,2008
BELLA,,2008
BERNADETT,190,2008
BETTINA,,2008
BIANKA,511,2008
BÍBORKA,,2008
BLANKA,285,2008
BOGLÁRKA,1058,2008
BORBÁLA,167,2008
BORÓKA,,2008
BRIGITTA,147,2008
CINTIA,209,2008
CSENGE,581,2008
CSILLA,,2008
DALMA,136,2008
DIÁNA,135,2008
DOMINIKA,,2008
DÓRA,774,2008
DORINA,714,2008
DORKA,322,2008
DOROTTYA,251,2008
DZSENIFER,250,2008
DZSESSZIKA,,2008
EDINA,,2008
ELIZA,,2008
ELIZABET,,2008
EMESE,295,2008
EMILI,,2008
EMÍLIA,147,2008
EMMA,529,2008
ENIKŐ,263,2008
ERIKA,,2008
ESZTER,774,2008
ÉVA,,2008
EVELIN,182,2008
FANNI,641,2008
FLÓRA,434,2008
FRUZSINA,395,2008
GABRIELLA,,2008
GEORGINA,,2008
GRÉTA,533,2008
HAJNALKA,,2008
HANGA,,2008
HANNA,1082,2008
HÉDI,,2008
HENRIETTA,,2008
IVETT,,2008
IZABELLA,155,2008
JANKA,232,2008
JÁZMIN,1031,2008
JOHANNA,133,2008
JUDIT,,2008
JÚLIA,252,2008
JULIANNA,,2008
KAMILLA,255,2008
KATA,336,2008
KATALIN,178,2008
KIARA,169,2008
KINCSŐ,169,2008
KINGA,294,2008
KIRA,172,2008
KÍRA,173,2008
KITTI,362,2008
KLAUDIA,143,2008
KRISZTINA,253,2008
LARA,263,2008
LAURA,775,2008
LEILA,123,2008
LÉNA,207,2008
LETÍCIA,,2008
LIA,,2008
LILI,933,2008
LILIÁNA,340,2008
LILIEN,181,2008
LILLA,540,2008
LINETT,,2008
LÍVIA,128,2008
LIZA,183,2008
LOTTI,,2008
LUCA,789,2008
MAJA,250,2008
MÁRIA,137,2008
MELINDA,123,2008
MELISSZA,168,2008
MERCÉDESZ,144,2008
MIA,,2008
MIRA,146,2008
MÍRA,184,2008
MIRELLA,128,2008
MÓNIKA,,2008
NATÁLIA,147,2008
NATASA,,2008
NIKOLETT,343,2008
NIKOLETTA,160,2008
NOÉMI,540,2008
NÓRA,1030,2008
NORINA,,2008
OLÍVIA,,2008
ORSOLYA,169,2008
PANKA,,2008
PANNA,387,2008
PATRÍCIA,181,2008
PETRA,883,2008
RAMÓNA,263,2008
REBEKA,423,2008
REGINA,390,2008
RÉKA,940,2008
RENÁTA,156,2008
